name,id,state,created_at,is_grid_run,learning_rate,lora_rank,method,model_size,final_loss
absurd-darkness-1,rzu7my7u,crashed,2025-11-23T14:59:13Z,False,,,,,
apertus8B-sft-lora,3dga3f02,finished,2025-11-23T15:06:43Z,False,,,,,
comic-wave-3,lxg637kh,crashed,2025-11-23T15:14:43Z,False,,,,,
avid-sunset-4,pbjo2527,crashed,2025-11-23T15:20:21Z,False,,,,,
apertus70B-sft-lora,dbcirxkk,finished,2025-11-23T15:29:43Z,False,,,,,
gallant-plant-6,rms3j1bk,finished,2025-11-23T22:26:11Z,False,,,,,
snowy-dew-10,d8o3xixf,finished,2025-11-24T18:13:06Z,False,,,,,
apertus8B-sft-full,yzoa1lh6,finished,2025-12-11T22:20:32Z,False,,,,,
young-cherry-13,tm5o1yvl,crashed,2025-12-12T01:19:54Z,False,,,,,
dataset-analysis-Apertus-8B-Instruct-2509,h3u93myr,finished,2025-12-15T18:15:03Z,False,,,,,
Apertus-70B-Instruct_2025-12-15_19-54-18,cphf2168,finished,2025-12-15T18:54:19Z,False,,,,,
Apertus-8B-Instruct_2025-12-16_15-13-31,sdocardc,finished,2025-12-16T14:13:32Z,False,,,,,
lr1e-5_r8_lora_8B,z3pft42h,finished,2025-12-16T20:15:06Z,True,1e-05,8.0,lora,8B,0.8234571218490601
lr1e-4_r1_lora_8B,xigqzei7,finished,2025-12-16T20:15:11Z,True,0.0001,1.0,lora,8B,0.7721115350723267
lr1e-5_r32_lora_8B,dk1ek4k2,finished,2025-12-16T20:15:12Z,True,1e-05,32.0,lora,8B,0.8237111568450928
lr1e-4_r8_lora_8B,v21rparv,finished,2025-12-16T20:15:14Z,True,0.0001,8.0,lora,8B,0.7732788324356079
lr1e-5_r4_lora_8B,q1tzzlp8,finished,2025-12-16T20:15:15Z,True,1e-05,4.0,lora,8B,0.8237081170082092
lr1e-5_r64_lora_8B,3tnilvkx,finished,2025-12-16T20:15:16Z,True,1e-05,64.0,lora,8B,0.823474109172821
lr1e-4_r4_lora_8B,nsgnftr2,finished,2025-12-16T20:15:16Z,True,0.0001,4.0,lora,8B,0.7731562852859497
lr1e-5_r256_lora_8B,f797iron,finished,2025-12-16T20:15:17Z,True,1e-05,256.0,lora,8B,0.8242110013961792
lr1e-4_r128_lora_8B,ni6zmwwm,finished,2025-12-16T20:15:17Z,True,0.0001,128.0,lora,8B,0.7721713781356812
lr1e-4_r2_lora_8B,0f7cxq0h,finished,2025-12-16T20:15:18Z,True,0.0001,2.0,lora,8B,0.772783637046814
lr1e-4_r64_lora_8B,ni6g3xeo,finished,2025-12-16T20:15:18Z,True,0.0001,64.0,lora,8B,0.77247154712677
lr1e-5_r1_lora_8B,ti9xg0kf,finished,2025-12-16T20:15:18Z,True,1e-05,1.0,lora,8B,0.818233847618103
lr1e-5_r128_lora_8B,fbcwtoru,finished,2025-12-16T20:15:19Z,True,1e-05,128.0,lora,8B,0.8236039280891418
lr1e-4_r32_lora_8B,ipu4ezfc,finished,2025-12-16T20:15:20Z,True,0.0001,32.0,lora,8B,0.7724519371986389
lr1e-4_r512_lora_8B,nnf44d13,finished,2025-12-16T20:15:21Z,True,0.0001,512.0,lora,8B,0.7735832929611206
lr1e-5_r512_lora_8B,a37q1485,finished,2025-12-16T20:15:22Z,True,1e-05,512.0,lora,8B,0.823948860168457
lr1e-5_r2_lora_8B,e3tj5fm3,finished,2025-12-16T20:15:22Z,True,1e-05,2.0,lora,8B,0.8215897679328918
lr1e-3_r4_lora_8B,8zjkvazd,finished,2025-12-16T20:15:23Z,True,0.001,4.0,lora,8B,0.7370131015777588
lr1e-3_r2_lora_8B,askkgrv2,finished,2025-12-16T20:15:25Z,True,0.001,2.0,lora,8B,0.7570953369140625
lr1e-3_r1_lora_8B,iye7ydcn,finished,2025-12-16T20:15:26Z,True,0.001,1.0,lora,8B,0.7600173950195312
lr1e-3_r8_lora_8B,6ed584go,finished,2025-12-16T20:15:27Z,True,0.001,8.0,lora,8B,0.7270795702934265
lr1e-3_r16_lora_8B,cssl47wd,finished,2025-12-16T20:15:27Z,True,0.001,16.0,lora,8B,0.7239017486572266
lr1e-3_r32_lora_8B,botfhokj,finished,2025-12-16T20:15:30Z,True,0.001,32.0,lora,8B,0.7146890163421631
lr1e-3_r128_lora_8B,4gmxfpal,finished,2025-12-16T20:15:31Z,True,0.001,128.0,lora,8B,0.7158366441726685
lr1e-3_r64_lora_8B,vqj2i516,finished,2025-12-16T20:15:32Z,True,0.001,64.0,lora,8B,0.7173119783401489
lr1e-4_r256_lora_8B,7b064s8t,finished,2025-12-16T20:15:35Z,True,0.0001,256.0,lora,8B,0.7729808688163757
lr1e-3_r512_lora_8B,xwguk7ev,finished,2025-12-16T20:15:35Z,True,0.001,512.0,lora,8B,0.7159173488616943
