_step,train/grad_norm,train/loss,train/entropy,train/num_tokens,train/learning_rate,_timestamp,train/epoch,train/global_step,_runtime,train/mean_token_accuracy
0,0.12397613376379013,1.6152849197387695,1.138671875,136478.0,0.0002,1766068276.5308979,0.0021436227224008574,1,21.239049679,0.6625781506299973
1,0.1530623584985733,1.6057827472686768,1.1796875,291874.0,0.0002,1766068287.6815639,0.004287245444801715,2,32.389569444,0.6537007987499237
2,0.15537643432617188,1.4780144691467285,1.189453125,444153.0,0.0002,1766068298.0258992,0.006430868167202572,3,42.733909365,0.6748758852481842
3,0.09695401787757874,1.4483859539031982,1.30859375,591753.0,0.0002,1766068308.3078067,0.00857449088960343,4,53.015817009,0.6730871945619583
4,0.08568300306797028,1.3643171787261963,1.3515625,736381.0,0.0002,1766068318.4848144,0.010718113612004287,5,63.192823706,0.6919312924146652
5,0.10256216675043106,1.2814767360687256,1.33984375,896047.0,0.0002,1766068329.0695508,0.012861736334405145,6,73.777548875,0.7050672322511673
6,0.1895134598016739,1.267223596572876,1.34765625,1061785.0,0.0002,1766068339.929937,0.015005359056806002,7,84.637948145,0.7051825970411301
7,0.16273656487464905,1.2015199661254883,1.33984375,1211545.0,0.0002,1766068350.305536,0.01714898177920686,8,95.013577285,0.7180028855800629
8,0.12960414588451385,1.0940008163452148,1.197265625,1372650.0,0.0002,1766068361.3251119,0.01929260450160772,9,106.03312112,0.740281879901886
9,0.17431730031967163,1.0634610652923584,1.08984375,1515603.0,0.0002,1766068371.7037978,0.021436227224008574,10,116.411797133,0.7426444590091705
10,0.17210710048675537,1.017662763595581,1.029296875,1662576.0,0.0002,1766068382.7143264,0.023579849946409433,11,127.422362349,0.7543458193540573
11,0.11267060786485672,0.9362775087356567,0.9091796875,1814378.0,0.0002,1766068393.3107653,0.02572347266881029,12,138.01879604,0.7745136320590973
12,0.08116941154003143,0.9301643371582031,0.8916015625,1970255.0,0.0002,1766068403.7935424,0.027867095391211148,13,148.501572548,0.774319127202034
13,0.07733681052923203,0.9609754085540771,0.92578125,2133812.0,0.0002,1766068414.3451462,0.030010718113612004,14,159.053182001,0.7657164335250854
14,0.21100343763828278,0.9128142595291138,0.8955078125,2283710.0,0.0002,1766068424.8961163,0.03215434083601286,15,169.604126324,0.7744311988353729
15,0.07031428813934326,0.9240717887878418,0.900390625,2439054.0,0.0002,1766068435.626801,0.03429796355841372,16,180.334750074,0.773425504565239
16,0.04858357086777687,0.883020281791687,0.86328125,2589694.0,0.0002,1766068445.9590876,0.03644158628081458,17,190.667078407,0.783080443739891
17,0.040140677243471146,0.9081160426139832,0.904296875,2751720.0,0.0002,1766068456.3398314,0.03858520900321544,18,201.047814267,0.7725014239549637
18,0.037649016827344894,0.9067923426628113,0.8857421875,2914410.0,0.0002,1766068467.1419675,0.04072883172561629,19,211.849938889,0.7750984728336334
19,0.03920226916670799,0.9263058304786682,0.90234375,3058759.0,0.0002,1766068477.642712,0.04287245444801715,20,222.350698924,0.7715977132320404
20,0.033023059368133545,0.8935697674751282,0.8701171875,3216454.0,0.0002,1766068488.0215933,0.04501607717041801,21,232.729593113,0.777647465467453
21,0.030162490904331207,0.8925501704216003,0.87890625,3377358.0,0.0002,1766068498.495758,0.04715969989281887,22,243.203775115,0.7768993228673935
22,0.029066147282719612,0.8909810781478882,0.8798828125,3536970.0,0.0002,1766068509.014647,0.04930332261521972,23,253.72267209,0.7793570756912231
23,0.027854016050696373,0.873412013053894,0.8681640625,3686518.0,0.0002,1766068519.3002596,0.05144694533762058,24,264.008263787,0.7804491370916367
24,0.023889953270554543,0.9169455766677856,0.9013671875,3852788.0,0.0002,1766068529.87233,0.05359056806002144,25,274.580339225,0.771188884973526
25,0.022289827466011047,0.8644547462463379,0.845703125,4015348.0,0.0002,1766068540.2837772,0.055734190782422297,26,284.991780115,0.783864751458168
26,0.020974183455109596,0.9397783279418945,0.91796875,4167723.0,0.0002,1766068550.9175339,0.05787781350482315,27,295.625533959,0.7659201622009277
27,0.020044365897774696,0.8370307087898254,0.830078125,4310733.0,0.0002,1766068561.786186,0.06002143622722401,28,306.494196377,0.7899035513401031
28,0.019452767446637154,0.8631564378738403,0.859375,4464853.0,0.0002,1766068572.1232128,0.06216505894962487,29,316.831204513,0.7828507870435715
29,0.016533847898244858,0.9195538759231567,0.9033203125,4632164.0,0.0002,1766068582.8552294,0.06430868167202572,30,327.563257141,0.7716603428125381
30,0.018524879589676857,0.8461266160011292,0.8447265625,4786404.0,0.0002,1766068593.5817566,0.06645230439442658,31,338.289763023,0.7880787402391434
31,0.01632610335946083,0.9006286859512329,0.8896484375,4952020.0,0.0002,1766068604.441588,0.06859592711682744,32,349.149582484,0.7747242599725723
32,0.016543125733733177,0.836982250213623,0.8369140625,5103436.0,0.0002,1766068614.8599072,0.0707395498392283,33,359.567909529,0.7892168462276459
33,0.01584840752184391,0.84600830078125,0.8505859375,5260905.0,0.0002,1766068625.3211184,0.07288317256162916,34,370.029123886,0.7867174297571182
34,0.01498028077185154,0.8336094617843628,0.830078125,5414919.0,0.0002,1766068635.8230956,0.07502679528403002,35,380.531030825,0.7893712222576141
35,0.014794907532632351,0.8484852313995361,0.84375,5571488.0,0.0002,1766068646.3692315,0.07717041800643087,36,391.077220748,0.7841493934392929
36,0.015950046479701996,0.8439823389053345,0.83984375,5715314.0,0.0002,1766068656.6448898,0.07931404072883172,37,401.35289057,0.7884809970855713
37,0.013752399012446404,0.8624723553657532,0.8349609375,5880072.0,0.0002,1766068667.5434349,0.08145766345123258,38,412.251430963,0.7840311676263809
38,0.015332052484154701,0.8559801578521729,0.8359375,6027787.0,0.0002,1766068678.019087,0.08360128617363344,39,422.727090619,0.784087523818016
39,0.014698682352900505,0.8639252781867981,0.8564453125,6182451.0,0.0002,1766068688.290007,0.0857449088960343,40,432.997992229,0.7824335694313049
40,0.013557607308030128,0.8774070739746094,0.8720703125,6350183.0,0.0002,1766068699.3098004,0.08788853161843516,41,444.017784693,0.7774840146303177
41,0.014422513544559479,0.8751633167266846,0.859375,6514419.0,0.0002,1766068710.113464,0.09003215434083602,42,454.82142705,0.779262900352478
42,0.014559068717062473,0.8382272720336914,0.845703125,6666816.0,0.0002,1766068720.4973826,0.09217577706323687,43,465.205349717,0.786608025431633
43,0.013597958721220493,0.897305965423584,0.8779296875,6837531.0,0.0002,1766068731.9405408,0.09431939978563773,44,476.648514881,0.7724500447511673
44,0.013808155432343483,0.8775861263275146,0.8701171875,6987565.0,0.0002,1766068743.1149223,0.09646302250803858,45,487.82292218,0.7752677500247955
45,0.013983733020722866,0.83225417137146,0.828125,7136498.0,0.0002,1766068753.494708,0.09860664523043944,46,498.202695063,0.7893161922693253
46,0.013861148618161678,0.8322099447250366,0.8173828125,7288181.0,0.0002,1766068763.6576905,0.1007502679528403,47,508.365680019,0.7896825820207596
47,0.013211576268076897,0.9290456175804138,0.9111328125,7464651.0,0.0002,1766068774.9332836,0.10289389067524116,48,519.641300764,0.7668975293636322
48,0.013027681969106197,0.8415065407752991,0.828125,7622815.0,0.0002,1766068785.3445902,0.10503751339764202,49,530.052586652,0.7870578616857529
49,0.013510242104530334,0.8234059810638428,0.833984375,7773244.0,0.0002,1766068795.7298548,0.10718113612004287,50,540.437801519,0.7905701249837875
50,0.01409873552620411,0.8512241840362549,0.8369140625,7920966.0,0.0002,1766068806.1668065,0.10932475884244373,51,550.874766721,0.7844737768173218
51,0.014614640735089779,0.8334343433380127,0.8203125,8071403.0,0.0002,1766068816.639623,0.11146838156484459,52,561.347592387,0.7897618561983109
52,0.01325037982314825,0.8448167443275452,0.828125,8223735.0,0.0002,1766068826.9052553,0.11361200428724544,53,571.613239161,0.787069782614708
53,0.014921602793037891,0.8129113912582397,0.796875,8369108.0,0.0002,1766068837.1927657,0.1157556270096463,54,581.90075772,0.7946260273456573
54,0.014192063361406326,0.9078690409660339,0.888671875,8540259.0,0.0002,1766068847.9764695,0.11789924973204716,55,592.684474402,0.7707692682743073
55,0.013285519555211067,0.8806048631668091,0.8701171875,8697806.0,0.0002,1766068858.3535728,0.12004287245444802,56,603.06158093,0.7787703573703766
56,0.013897614553570747,0.8443191051483154,0.8427734375,8860538.0,0.0002,1766068869.0546017,0.12218649517684887,57,613.762599899,0.785927802324295
57,0.014608358033001423,0.8507730960845947,0.841796875,9011954.0,0.0002,1766068879.3338985,0.12433011789924973,58,624.041894891,0.7846302390098572
58,0.013457675464451313,0.8581666946411133,0.8505859375,9181534.0,0.0002,1766068889.8669093,0.1264737406216506,59,634.574915899,0.7834325432777405
59,0.01320694200694561,0.844030499458313,0.8447265625,9346316.0,0.0002,1766068900.3651028,0.12861736334405144,60,645.073080777,0.7844138145446777
60,0.013741221278905869,0.8016929030418396,0.79296875,9496978.0,0.0002,1766068911.504455,0.1307609860664523,61,656.212460322,0.7991034239530563
61,0.0145011181011796,0.891692042350769,0.87109375,9655008.0,0.0002,1766068922.2467463,0.13290460878885316,62,666.954747549,0.7741929143667221
62,0.013671515509486198,0.7821033596992493,0.7822265625,9801101.0,0.0002,1766068932.4962842,0.13504823151125403,63,677.20426743,0.8009890466928482
63,0.014692415483295918,0.834099292755127,0.822265625,9960325.0,0.0002,1766068943.1828828,0.13719185423365488,64,687.890869495,0.7905350625514984
