_step,train/mean_token_accuracy,train/num_tokens,_runtime,train/loss,train/grad_norm,train/learning_rate,train/epoch,_timestamp,train/global_step
0,0.6556211709976196,136605.0,10.73897398,1.6930222511291504,0.18627434968948364,0.0001,0.0021436227224008574,1766072989.2286787,1
1,0.648253932595253,292128.0,22.489065981,1.6889426708221436,0.19201229512691498,0.0001,0.004287245444801715,1766073000.9789693,2
2,0.6637188941240311,444535.0,33.337982949,1.616396188735962,0.24498003721237183,0.0001,0.006430868167202572,1766073011.827915,3
3,0.6512701958417892,592263.0,43.86240371,1.6388938426971436,0.28419142961502075,0.0001,0.00857449088960343,1766073022.3522196,4
4,0.6622241884469986,737019.0,54.439270516,1.5699806213378906,0.28213241696357727,0.0001,0.010718113612004287,1766073032.9291267,5
5,0.6760234609246254,896813.0,66.585114664,1.473347783088684,0.23745594918727875,0.0001,0.012861736334405145,1766073045.0750349,6
6,0.6721211895346642,1062679.0,78.632373529,1.4616310596466064,0.21367160975933075,0.0001,0.015005359056806002,1766073057.1222923,7
7,0.6770165264606476,1212566.0,89.3106702,1.4350090026855469,0.25195515155792236,0.0001,0.01714898177920686,1766073067.8005993,8
8,0.6924804598093033,1373797.0,103.764512495,1.3372398614883423,0.12273045629262924,0.0001,0.01929260450160772,1766073082.2544498,9
9,0.6892647445201874,1516877.0,114.265819342,1.359358787536621,0.144903302192688,0.0001,0.021436227224008574,1766073092.755781,10
10,0.6964123025536537,1663977.0,125.664859118,1.3198856115341187,0.2547406256198883,0.0001,0.023579849946409433,1766073104.154776,11
11,0.7188993692398071,1815907.0,136.013003501,1.2269656658172607,0.18905217945575714,0.0001,0.02572347266881029,1766073114.5029378,12
12,0.7252391278743744,1971911.0,148.556087935,1.1892341375350952,0.1944170594215393,0.0001,0.027867095391211148,1766073127.0460355,13
13,0.7227076888084412,2135596.0,160.938259472,1.1809762716293335,0.1605447679758072,0.0001,0.030010718113612004,1766073139.4282074,14
14,0.7358987480401993,2285621.0,172.247844871,1.1236659288406372,0.21579155325889587,0.0001,0.03215434083601286,1766073150.7377899,15
15,0.744127556681633,2441090.0,184.140336161,1.0937440395355225,0.1749434918165207,0.0001,0.03429796355841372,1766073162.6302679,16
16,0.7596341967582703,2591858.0,195.176228579,1.032944917678833,0.16563622653484344,0.0001,0.03644158628081458,1766073173.6661575,17
17,0.7547408193349838,2754012.0,208.222639097,1.026009440422058,0.15697380900382996,0.0001,0.03858520900321544,1766073186.7125733,18
18,0.7613830640912056,2916829.0,220.949868511,1.0066735744476318,0.16953782737255096,0.0001,0.04072883172561629,1766073199.4397938,19
19,0.758442297577858,3061305.0,232.507505724,1.0212206840515137,0.15401765704154968,0.0001,0.04287245444801715,1766073210.9974582,20
20,0.7664722800254822,3219127.0,243.747269598,0.9687536358833313,0.13175417482852936,0.0001,0.04501607717041801,1766073222.2372081,21
21,0.7701822519302368,3380158.0,256.133979866,0.9590667486190796,0.11224843561649323,0.0001,0.04715969989281887,1766073234.6239116,22
22,0.7720431610941887,3539898.0,267.724192878,0.9492403268814087,0.09857293963432312,0.0001,0.04930332261521972,1766073246.2141325,23
23,0.7730197161436081,3689574.0,277.309515481,0.9294663667678833,0.11941976845264435,0.0001,0.05144694533762058,1766073255.7994535,24
24,0.7645604908466339,3855970.0,290.139589629,0.9652698040008545,0.08012299984693527,0.0001,0.05359056806002144,1766073268.6295342,25
25,0.7780486792325974,4018658.0,302.016496211,0.9093647003173828,0.07773024588823318,0.0001,0.055734190782422297,1766073280.5064332,26
26,0.7608247920870781,4171160.0,313.518645495,0.9845077395439148,0.07688212394714355,0.0001,0.05787781350482315,1766073292.0085804,27
27,0.7838583812117577,4314298.0,323.329263856,0.8790141344070435,0.0706106647849083,0.0001,0.06002143622722401,1766073301.8192098,28
28,0.7780868262052536,4468546.0,334.54384768,0.9018976092338562,0.0686127170920372,0.0001,0.06216505894962487,1766073313.0337877,29
29,0.7674588188529015,4635984.0,347.877641446,0.9539792537689209,0.0618957094848156,0.0001,0.06430868167202572,1766073326.3675828,30
30,0.7839471995830536,4790352.0,358.044311008,0.8784782886505127,0.05440906062722206,0.0001,0.06645230439442658,1766073336.5342574,31
31,0.770961344242096,4956096.0,370.703827863,0.9302828907966614,0.04461272433400154,0.0001,0.06859592711682744,1766073349.1937754,32
32,0.7854529619216919,5107640.0,380.994669535,0.8651270866394043,0.04515672102570534,0.0001,0.0707395498392283,1766073359.4846287,33
33,0.7834810018539429,5265237.0,392.519659691,0.8730142712593079,0.04685273393988609,0.0001,0.07288317256162916,1766073371.0096085,34
34,0.7860652580857277,5419378.0,404.291370685,0.8609969615936279,0.04567018523812294,0.0001,0.07502679528403002,1766073382.7813072,35
35,0.7808766886591911,5576075.0,415.12028892,0.8743144273757935,0.044654279947280884,0.0001,0.07717041800643087,1766073393.6102164,36
36,0.7859828248620033,5720029.0,424.726903861,0.8701072335243225,0.043649714440107346,0.0001,0.07931404072883172,1766073403.2168307,37
37,0.7824199050664902,5884915.0,437.872529568,0.8858225345611572,0.03599758446216583,0.0001,0.08145766345123258,1766073416.36246,38
