train/global_step,train/learning_rate,train/grad_norm,_step,train/epoch,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/num_tokens,eval/accuracy
1.0,0.0001,136.35302734375,0,0.0021436227224008574,0.6566445082426071,14.621326476,1765929558.8889084,1.694303274154663,136605.0,
2.0,0.0001,24.198087692260742,1,0.004287245444801715,0.6946059763431549,27.300855673,1765929571.5686414,1.3407809734344482,292128.0,
3.0,0.0001,5.633753776550293,2,0.006430868167202572,0.7242343425750732,38.613171987,1765929582.8810072,1.194408893585205,444535.0,
4.0,0.0001,3.9154117107391357,3,0.00857449088960343,0.7407963573932648,50.383882752,1765929594.6517453,1.075140118598938,592263.0,
5.0,0.0001,4.222527503967285,4,0.010718113612004287,0.7618684768676758,62.027196112,1765929606.29502,1.0045456886291504,737019.0,
6.0,0.0001,1.3350281715393066,5,0.012861736334405145,0.7710336595773697,76.798544153,1765929621.0663683,0.957897961139679,896813.0,
7.0,0.0001,3.4554545879364014,6,0.015005359056806002,0.7479371279478073,92.126248225,1765929636.3940544,1.0402272939682007,1062679.0,
8.0,0.0001,2.197108030319214,7,0.01714898177920686,0.755259320139885,104.156783427,1765929648.4246063,0.9883323311805725,1212566.0,
9.0,0.0001,1.1328800916671753,8,0.01929260450160772,0.7701567113399506,118.837438537,1765929663.1052353,0.9284175038337708,1373797.0,
10.0,0.0001,1.2753323316574097,9,0.021436227224008574,0.7734475284814835,130.820270299,1765929675.0880787,0.9152937531471252,1516877.0,
11.0,0.0001,1.1523332595825195,10,0.023579849946409433,0.7708243727684021,142.627896778,1765929686.89571,0.9122101664543152,1663977.0,
12.0,0.0001,2.030189037322998,11,0.02572347266881029,0.7851862013339996,154.197801051,1765929698.4656253,0.8465132117271423,1815907.0,
13.0,0.0001,10.2860689163208,12,0.027867095391211148,0.7794670313596725,167.66488755,1765929711.932728,0.8695001602172852,1971911.0,
14.0,0.0001,8.670242309570312,13,0.030010718113612004,0.7659614533185959,181.087707436,1765929725.3555305,0.933452844619751,2135596.0,
15.0,0.0001,1.7632932662963867,14,0.03215434083601286,0.7764116376638412,193.423866692,1765929737.6916802,0.8986747860908508,2285621.0,
16.0,0.0001,3.0573973655700684,15,0.03429796355841372,0.7775081545114517,207.298463808,1765929751.5662892,0.8948295712471008,2441090.0,
17.0,0.0001,2.421870708465576,16,0.03644158628081458,0.7890029102563858,219.738005162,1765929764.0058362,0.8406708240509033,2591858.0,
18.0,0.0001,0.6678180694580078,17,0.03858520900321544,0.7783607989549637,234.506257282,1765929778.7740827,0.8765754699707031,2754012.0,
19.0,0.0001,0.7043997049331665,18,0.04072883172561629,0.7854849100112915,248.062463199,1765929792.3302712,0.8547171950340271,2916829.0,
20.0,0.0001,7.925879001617432,19,0.04287245444801715,0.7809567898511887,260.103878952,1765929804.3717086,0.8754632472991943,3061305.0,
21.0,0.0001,1.509119987487793,20,0.04501607717041801,0.7839905768632889,271.889680694,1765929816.1575031,0.85663241147995,3219127.0,
22.0,0.0001,0.541357159614563,21,0.04715969989281887,0.7812311500310898,286.249597209,1765929830.5174272,0.8519679307937622,3380158.0,
23.0,0.0001,0.867112934589386,22,0.04930332261521972,0.7845404893159866,298.238295503,1765929842.5061188,0.8451007604598999,3539898.0,
24.0,0.0001,0.6817014813423157,23,0.05144694533762058,0.7893932610750198,307.492899726,1765929851.7607152,0.8168617486953735,3689574.0,
25.0,0.0001,1.5300978422164917,24,0.05359056806002144,0.7783235311508179,321.414798427,1765929865.6826427,0.872145414352417,3855970.0,
26.0,0.0001,1.706624984741211,25,0.055734190782422297,0.79131218791008,334.212049417,1765929878.4798756,0.8217705488204956,4018658.0,
27.0,0.0001,0.8275042772293091,26,0.05787781350482315,0.7729142606258392,347.766098994,1765929892.033924,0.9004012942314148,4171160.0,
28.0,0.0001,0.983055591583252,27,0.06002143622722401,0.7976146042346954,358.08832081,1765929902.356125,0.7768761515617371,4314298.0,
29.0,0.0001,0.3375900685787201,28,0.06216505894962487,0.7934031933546066,369.526206191,1765929913.7940042,0.7993932962417603,4468546.0,
30.0,0.0001,0.8577069640159607,29,0.06430868167202572,0.7788392752408981,383.422285739,1765929927.6901217,0.8723954558372498,4635984.0,
31.0,0.0001,1.7670716047286987,30,0.06645230439442658,0.797191932797432,394.640850383,1765929938.90866,0.7832087278366089,4790352.0,
32.0,0.0001,0.41144850850105286,31,0.06859592711682744,0.7835967242717743,408.471400628,1765929952.7392247,0.8443710207939148,4956096.0,
33.0,0.0001,0.37033334374427795,32,0.0707395498392283,0.7977512329816818,419.272277834,1765929963.5400927,0.7755003571510315,5107640.0,
34.0,0.0001,0.4955542981624603,33,0.07288317256162916,0.7959025502204895,432.066142886,1765929976.3339713,0.7835173606872559,5265237.0,
35.0,0.0001,0.40709447860717773,34,0.07502679528403002,0.8007192611694336,443.535434861,1765929987.8032622,0.7658467888832092,5419378.0,
36.0,0.0001,0.3846801817417145,35,0.07717041800643087,0.7938425540924072,455.007184904,1765929999.2750087,0.7848694324493408,5576075.0,
37.0,0.0001,0.4295726716518402,36,0.07931404072883172,0.8007235080003738,465.252851813,1765930009.5206938,0.7669892311096191,5720029.0,
38.0,0.0001,0.41053733229637146,37,0.08145766345123258,0.7928943186998367,479.026501621,1765930023.2943466,0.8006648421287537,5884915.0,
39.0,0.0001,0.3005766272544861,38,0.08360128617363344,0.7937794923782349,492.009714751,1765930036.2775335,0.7894531488418579,6032758.0,
40.0,0.0001,0.8434196710586548,39,0.0857449088960343,0.7929815351963043,503.273889492,1765930047.5417302,0.7997989654541016,6187550.0,
41.0,0.0001,0.3727293312549591,40,0.08788853161843516,0.7878848314285278,517.679547117,1765930061.9473784,0.8138439655303955,6355408.0,
42.0,0.0001,0.3397083580493927,41,0.09003215434083602,0.7899889796972275,530.638954735,1765930074.9068084,0.8087137937545776,6519771.0,
43.0,0.0001,0.4518880546092987,42,0.09217577706323687,0.7986518740653992,543.015253214,1765930087.2830856,0.7645787000656128,6672296.0,
44.0,0.0001,0.3383372128009796,43,0.09431939978563773,0.7814440429210663,559.148121699,1765930103.4159431,0.8370201587677002,6843136.0,
45.0,0.0001,0.4479958415031433,44,0.09646302250803858,0.7872009724378586,572.654674763,1765930116.9224997,0.8021146059036255,6993296.0,
46.0,0.0001,0.42468106746673584,45,0.09860664523043944,0.802934855222702,585.181663104,1765930129.4494736,0.7500982284545898,7142356.0,
47.0,0.0001,0.3133547902107239,46,0.1007502679528403,0.804736852645874,595.836099319,1765930140.103917,0.7468823194503784,7294167.0,
48.0,0.0001,0.4381595253944397,47,0.10289389067524116,0.776963621377945,611.076970729,1765930155.3447883,0.867368757724762,7470762.0,
49.0,0.0001,0.3393334746360779,48,0.10503751339764202,0.7987067252397537,624.826308986,1765930169.0941226,0.769927442073822,7629052.0,
50.0,0.0001,0.34987595677375793,49,0.10718113612004287,0.8019714206457138,634.989703473,1765930179.2575214,0.7497301697731018,7779609.0,
51.0,0.0001,0.35678839683532715,50,0.10932475884244373,0.7964811772108078,647.048862556,1765930191.3166857,0.7751327753067017,7927458.0,
52.0,0.0001,0.4539089798927307,51,0.11146838156484459,0.8016836643218994,658.182213206,1765930202.4500358,0.7552970051765442,8078023.0,
53.0,0.0001,0.46441030502319336,52,0.11361200428724544,0.7988633513450623,670.057355828,1765930214.3251607,0.7706217765808105,8230483.0,
54.0,0.0001,0.4528045654296875,53,0.1157556270096463,0.8073089569807053,682.441487152,1765930226.7093263,0.7350437045097351,8375984.0,
55.0,0.0001,0.3261893689632416,54,0.11789924973204716,0.7846093624830246,695.928755359,1765930240.1965768,0.8262110948562622,8547262.0,
