train/learning_rate,_timestamp,train/num_tokens,train/global_step,_step,train/loss,train/grad_norm,train/mean_token_accuracy,_runtime,train/epoch,eval/accuracy
0.0001,1765916131.3539643,136605.0,1.0,0,1.6945645809173584,0.0663982406258583,0.6562617868185043,10.120777143,0.0021436227224008574,
0.0001,1765916138.8525004,292128.0,2.0,1,1.6898703575134277,0.06872586905956268,0.6475860625505447,17.61900119,0.004287245444801715,
0.0001,1765916145.4925516,444535.0,3.0,2,1.6163028478622437,0.08688632398843765,0.6636747866868973,24.259044246,0.006430868167202572,
0.0001,1765916152.2890818,592263.0,4.0,3,1.6413638591766357,0.1007651761174202,0.6519525349140167,31.055554788,0.00857449088960343,
0.0001,1765916158.6904027,737019.0,5.0,4,1.5713921785354614,0.09963791817426682,0.661917045712471,37.456886256,0.010718113612004287,
0.0001,1765916165.862159,896813.0,6.0,5,1.4766907691955566,0.08370932936668396,0.6753947138786316,44.628647733,0.012861736334405145,
0.0001,1765916174.610478,1062679.0,7.0,6,1.465151071548462,0.07570038735866547,0.6735453307628632,53.376974674,0.015005359056806002,
0.0001,1765916181.784174,1212566.0,8.0,7,1.4390512704849243,0.08728931099176407,0.6762239933013916,60.550651409,0.01714898177920686,
0.0001,1765916190.4447439,1373797.0,9.0,8,1.3423635959625244,0.04008748382329941,0.6924859285354614,69.211259116,0.01929260450160772,
0.0001,1765916197.4095206,1516877.0,10.0,9,1.3667556047439575,0.049605678766965866,0.6873772591352463,76.176001049,0.021436227224008574,
0.0001,1765916204.4659562,1663977.0,11.0,10,1.3268187046051025,0.06791266053915024,0.6961274892091751,83.232456147,0.023579849946409433,
0.0001,1765916211.0727856,1815907.0,12.0,11,1.2351338863372803,0.058254174888134,0.7166309654712677,89.839275451,0.02572347266881029,
0.0001,1765916218.7560968,1971911.0,13.0,12,1.195626974105835,0.0562732070684433,0.724131241440773,97.522563435,0.027867095391211148,
0.0001,1765916226.4610028,2135596.0,14.0,13,1.1882996559143066,0.055210940539836884,0.7216678261756897,105.227455672,0.030010718113612004,
0.0001,1765916234.02246,2285621.0,15.0,14,1.1293179988861084,0.05986607074737549,0.736002117395401,112.788951317,0.03215434083601286,
0.0001,1765916242.1239412,2441090.0,16.0,15,1.1007518768310547,0.05833323672413826,0.7421980649232864,120.890429442,0.03429796355841372,
