train/global_step,train/loss,train/learning_rate,train/mean_token_accuracy,_timestamp,train/epoch,train/grad_norm,_step,_runtime,train/num_tokens
1,1.6930222511291504,0.0001,0.6556211709976196,1766072989.2286787,0.0021436227224008574,0.18627434968948364,0,10.73897398,136605.0
2,1.6889426708221436,0.0001,0.648253932595253,1766073000.9789693,0.004287245444801715,0.19201229512691498,1,22.489065981,292128.0
3,1.616396188735962,0.0001,0.6637188941240311,1766073011.827915,0.006430868167202572,0.24498003721237183,2,33.337982949,444535.0
4,1.6388938426971436,0.0001,0.6512701958417892,1766073022.3522196,0.00857449088960343,0.28419142961502075,3,43.86240371,592263.0
5,1.5699806213378906,0.0001,0.6622241884469986,1766073032.9291267,0.010718113612004287,0.28213241696357727,4,54.439270516,737019.0
6,1.473347783088684,0.0001,0.6760234609246254,1766073045.0750349,0.012861736334405145,0.23745594918727875,5,66.585114664,896813.0
7,1.4616310596466064,0.0001,0.6721211895346642,1766073057.1222923,0.015005359056806002,0.21367160975933075,6,78.632373529,1062679.0
8,1.4350090026855469,0.0001,0.6770165264606476,1766073067.8005993,0.01714898177920686,0.25195515155792236,7,89.3106702,1212566.0
9,1.3372398614883423,0.0001,0.6924804598093033,1766073082.2544498,0.01929260450160772,0.12273045629262924,8,103.764512495,1373797.0
10,1.359358787536621,0.0001,0.6892647445201874,1766073092.755781,0.021436227224008574,0.144903302192688,9,114.265819342,1516877.0
11,1.3198856115341187,0.0001,0.6964123025536537,1766073104.154776,0.023579849946409433,0.2547406256198883,10,125.664859118,1663977.0
12,1.2269656658172607,0.0001,0.7188993692398071,1766073114.5029378,0.02572347266881029,0.18905217945575714,11,136.013003501,1815907.0
13,1.1892341375350952,0.0001,0.7252391278743744,1766073127.0460355,0.027867095391211148,0.1944170594215393,12,148.556087935,1971911.0
14,1.1809762716293335,0.0001,0.7227076888084412,1766073139.4282074,0.030010718113612004,0.1605447679758072,13,160.938259472,2135596.0
15,1.1236659288406372,0.0001,0.7358987480401993,1766073150.7377899,0.03215434083601286,0.21579155325889587,14,172.247844871,2285621.0
16,1.0937440395355225,0.0001,0.744127556681633,1766073162.6302679,0.03429796355841372,0.1749434918165207,15,184.140336161,2441090.0
17,1.032944917678833,0.0001,0.7596341967582703,1766073173.6661575,0.03644158628081458,0.16563622653484344,16,195.176228579,2591858.0
18,1.026009440422058,0.0001,0.7547408193349838,1766073186.7125733,0.03858520900321544,0.15697380900382996,17,208.222639097,2754012.0
19,1.0066735744476318,0.0001,0.7613830640912056,1766073199.4397938,0.04072883172561629,0.16953782737255096,18,220.949868511,2916829.0
20,1.0212206840515137,0.0001,0.758442297577858,1766073210.9974582,0.04287245444801715,0.15401765704154968,19,232.507505724,3061305.0
21,0.9687536358833313,0.0001,0.7664722800254822,1766073222.2372081,0.04501607717041801,0.13175417482852936,20,243.747269598,3219127.0
22,0.9590667486190796,0.0001,0.7701822519302368,1766073234.6239116,0.04715969989281887,0.11224843561649323,21,256.133979866,3380158.0
23,0.9492403268814087,0.0001,0.7720431610941887,1766073246.2141325,0.04930332261521972,0.09857293963432312,22,267.724192878,3539898.0
24,0.9294663667678833,0.0001,0.7730197161436081,1766073255.7994535,0.05144694533762058,0.11941976845264435,23,277.309515481,3689574.0
