_step,_runtime,train/loss,train/mean_token_accuracy,train/grad_norm,train/num_tokens,train/learning_rate,_timestamp,train/epoch,train/global_step
0,10.082452565,1.6930222511291504,0.6566208899021149,0.1854654848575592,136605.0,0.0001,1766073008.698673,0.0021436227224008574,1
1,17.135808493,1.6895015239715576,0.6477830857038498,0.19166716933250427,292128.0,0.0001,1766073015.7523327,0.004287245444801715,2
2,23.461565575,1.6163793802261353,0.6642365753650665,0.24519826471805573,444535.0,0.0001,1766073022.078082,0.006430868167202572,3
3,30.003539893,1.6404197216033936,0.6522291004657745,0.28342971205711365,592263.0,0.0001,1766073028.620076,0.00857449088960343,4
4,36.344242817,1.5697702169418335,0.6626241207122803,0.283933162689209,737019.0,0.0001,1766073034.9604964,0.010718113612004287,5
5,43.219421897,1.4738976955413818,0.6758147180080414,0.23718178272247314,896813.0,0.0001,1766073041.835858,0.012861736334405145,6
6,52.041897679,1.4614659547805786,0.6737956702709198,0.21636374294757843,1062679.0,0.0001,1766073050.6583717,0.015005359056806002,7
7,58.898089587,1.435412883758545,0.6770252734422684,0.24979856610298157,1212566.0,0.0001,1766073057.5144818,0.01714898177920686,8
8,67.323870413,1.3389813899993896,0.6926945447921753,0.12197466939687729,1373797.0,0.0001,1766073065.9403718,0.01929260450160772,9
9,74.006444092,1.361281394958496,0.6883569359779358,0.14393019676208496,1516877.0,0.0001,1766073072.622915,0.021436227224008574,10
10,80.838352019,1.3199594020843506,0.6966177672147751,0.2366960048675537,1663977.0,0.0001,1766073079.454873,0.023579849946409433,11
11,87.18062764,1.2281851768493652,0.7185891717672348,0.18736082315444946,1815907.0,0.0001,1766073085.7970986,0.02572347266881029,12
12,94.983942934,1.189691185951233,0.7251435071229935,0.1879090517759323,1971911.0,0.0001,1766073093.6004572,0.027867095391211148,13
13,102.432279968,1.1821085214614868,0.7227280288934708,0.17168447375297546,2135596.0,0.0001,1766073101.0487823,0.030010718113612004,14
14,109.527781784,1.1236642599105835,0.7363164573907852,0.20030289888381958,2285621.0,0.0001,1766073108.1443057,0.03215434083601286,15
15,117.50364555,1.0952777862548828,0.7432447522878647,0.17430379986763,2441090.0,0.0001,1766073116.120151,0.03429796355841372,16
16,124.398586187,1.033761739730835,0.758702963590622,0.16208679974079132,2591858.0,0.0001,1766073123.0151045,0.03644158628081458,17
17,132.736207861,1.0257309675216675,0.7538997232913971,0.16192856431007385,2754012.0,0.0001,1766073131.3527484,0.03858520900321544,18
18,140.581351983,1.0063879489898682,0.7607138305902481,0.1668907254934311,2916829.0,0.0001,1766073139.1979077,0.04072883172561629,19
19,147.326006854,1.0205788612365723,0.7574061006307602,0.14950832724571228,3061305.0,0.0001,1766073145.942534,0.04287245444801715,20
20,153.997136818,0.9687626957893372,0.7653949111700058,0.13029584288597107,3219127.0,0.0001,1766073152.6136723,0.04501607717041801,21
21,162.005429375,0.9589424133300781,0.7683489620685577,0.11233960092067719,3380158.0,0.0001,1766073160.621967,0.04715969989281887,22
22,168.672343809,0.9488555788993835,0.7713034451007843,0.10120813548564911,3539898.0,0.0001,1766073167.2888787,0.04930332261521972,23
23,173.704621557,0.9291656017303467,0.7732992619276047,0.09949253499507904,3689574.0,0.0001,1766073172.321134,0.05144694533762058,24
24,181.76735129,0.965327799320221,0.7649303376674652,0.07918417453765869,3855970.0,0.0001,1766073180.3838737,0.05359056806002144,25
25,188.738583367,0.9099698066711426,0.777090385556221,0.07752210646867752,4018658.0,0.0001,1766073187.3551145,0.055734190782422297,26
26,196.309487464,0.9847806692123413,0.7594942599534988,0.07894273102283478,4171160.0,0.0001,1766073194.92603,0.05787781350482315,27
27,201.922082259,0.8784099817276001,0.7830952852964401,0.07177510112524033,4314298.0,0.0001,1766073200.5386343,0.06002143622722401,28
28,208.172059589,0.9008346796035767,0.777740478515625,0.0638204962015152,4468546.0,0.0001,1766073206.7885597,0.06216505894962487,29
29,215.972966427,0.9533276557922363,0.7668158113956451,0.05983586981892586,4635984.0,0.0001,1766073214.5894961,0.06430868167202572,30
30,222.000539801,0.8784729242324829,0.7838856428861618,0.057072628289461136,4790352.0,0.0001,1766073220.617079,0.06645230439442658,31
31,229.569383826,0.9305514097213745,0.7706427127122879,0.045810800045728683,4956096.0,0.0001,1766073228.1859019,0.06859592711682744,32
32,235.420691972,0.8644715547561646,0.7851741313934326,0.04402314871549606,5107640.0,0.0001,1766073234.0372028,0.0707395498392283,33
33,242.375913639,0.8726123571395874,0.7829761654138565,0.04150326922535896,5265237.0,0.0001,1766073240.9924448,0.07288317256162916,34
34,249.016870977,0.8609139323234558,0.7852462530136108,0.04468319192528725,5419378.0,0.0001,1766073247.6333745,0.07502679528403002,35
35,255.178587688,0.8740266561508179,0.7806426286697388,0.042169053107500076,5576075.0,0.0001,1766073253.795128,0.07717041800643087,36
36,260.693089771,0.869791567325592,0.785401776432991,0.04267336428165436,5720029.0,0.0001,1766073259.3096309,0.07931404072883172,37
37,268.297891889,0.8853315114974976,0.7806731760501862,0.03577471151947975,5884915.0,0.0001,1766073266.9144075,0.08145766345123258,38
38,275.545164429,0.8790788650512695,0.7804718315601349,0.03546866029500961,6032758.0,0.0001,1766073274.161685,0.08360128617363344,39
39,281.647572119,0.886171817779541,0.7798779159784317,0.03354107588529587,6187550.0,0.0001,1766073280.264088,0.0857449088960343,40
40,289.82831703,0.8967194557189941,0.774631455540657,0.02943483553826809,6355408.0,0.0001,1766073288.444839,0.08788853161843516,41
41,297.173986341,0.8946412205696106,0.7765374779701233,0.029127085581421852,6519771.0,0.0001,1766073295.7904916,0.09003215434083602,42
42,303.873363661,0.859096348285675,0.7839986830949783,0.028856389224529266,6672296.0,0.0001,1766073302.4899085,0.09217577706323687,43
43,313.371734626,0.9156051874160767,0.7694845944643021,0.02873837761580944,6843136.0,0.0001,1766073311.988256,0.09431939978563773,44
44,321.215334538,0.8975643515586853,0.7726886123418808,0.02919258549809456,6993296.0,0.0001,1766073319.8318627,0.09646302250803858,45
45,328.317058617,0.851895809173584,0.7861674576997757,0.02761579118669033,7142356.0,0.0001,1766073326.9335952,0.09860664523043944,46
46,334.205184486,0.8515973091125488,0.7870966196060181,0.02751295641064644,7294167.0,0.0001,1766073332.8217182,0.1007502679528403,47
